tweet_text,stance
"I was honored to speak at the Yes on Prop 1 Rally last night. As a mother &amp; grandmother who has felt life grow, it is crucial that we pass Proposition 1. Taxpayer dollars should not be used to fund abortions. #ProLife https://t.co/nmv3X28ovp",oppose
Pro-Life Advocate Abby Johnson Gives Women New Legal Option to Combat Abortion Negligence: 'Abortion Is Not Safe' https://t.co/kyvoqB5oXx https://t.co/wzi0vGINzq,oppose
"Youth for Life NI

""Abortion? â€” Not in our name. âœŠ Our pro-life laws are progressive, modern and compassionate because they protect women and their children from the exploitation of a corrupt and callous abortion industry.""

#JoinTheFightBack #SaveOurBabies https://t.co/6nsAQX736F",oppose
"The Democrats' abortion extremism is alienating pro-life voters who can't stomach a vote for taxpayer-funded abortion on-demand.

â€œWe wish the Democratic Party would offer us an alternative instead of doubling down on support for abortion...""

https://t.co/rqTLGLzu6P https://t.co/fFPMiv0U0g",oppose
Abortion ends the life of a child and it robs the mother of her future. #ProLife #ProWoman https://t.co/1QmxQ814oc,oppose
Many States will attempt to amend their constitutions to give the #fetus #HumanRights. Many people vote â€œyesâ€. Women are being forced to give up their right to control their bodies. They are agreeing to make it criminal to have an #abortion and to be sent to jail for doing so. https://t.co/00wR4TRVPk,support
"Free, legal and safe access to abortion for all is essential to gender equality. #nowdecrim #abortionrights #prochoice https://t.co/FfIve7FJIh",support
If u know u will only raise a kid like this. Its better to end a pregnancy than let them suffer. #prochoice #stopthebans #ProLife https://t.co/Q0hEiJfuuX,support
"Climate of Fear: When Part of a Country Bans Abortion: Northern Irelandâ€™s draconian rules, separate from the system in the rest of Britain and in Ireland, may provide a foretaste of life in some American states if Roe v. Wade is overturned. https://t.co/sjtxKp0FcW",support
RT @PPact: Today marks the 47th anniversary of Roe v. Wade. Here's a friendly reminder: Abortion is safe and still legal in all 50 states â€” and weâ€™re doing everything we can to keep it that way. #RoevWade https://t.co/Ce6UCZkyxY,support
"LAUNCH of our mobile billboards as part of our 'Vote for Life' Campaign. 

As pro-life citizens, we cannot vote for any candidate who supports abortion - the killing of innocent preborn children. TOMORROW, make your vote count by voting pro-life!

#voteforlife #repealsection9 https://t.co/qKG8HMQQPp",oppose
"Lack of legal access to safe abortion services is likely to increase number of young women seeking illegal &amp; unsafe abortions, leading to increased morbidity &amp; mortality. Malawi should liberalize abortion law @UNFPAMalawi @unwomenmalawi @UNMalawi @UNMalawi @IpasOrg @amplifyfund https://t.co/XBIIHtVWb0",support
"The majority (91.6%) of #abortions are performed within the initial ten weeks of a #pregnancy. The earlier an abortion is performed, the process is safer, easier, associated with less complications or side effects and the most cost-efficient... https://t.co/WqTZSYS8hZ https://t.co/OJSlpEM0rm",support
"Pro-Life: It's wrong to kill a baby! Pro-Abortion: Until it's born, it's a fetus. A clump of cells. You can't murder the contents of a womb.  @CNN: ""... a fetus that was born...""  P-L: It's wrong to kill a baby! Pro-Abort: IT'S A FETUS THAT WAS BORN! STOP TRYING TO CONTROL WOMEN! https://t.co/kWodnX4ECz",oppose
"Don't panic there are many ways we can help you get a free, safe and legal abortion in Northern Ireland.  We've put together useful info here. Around the world millions of people take abortion pills at home safely.  #NotJustOnPaper #CareAtHome #ProChoice  https://t.co/asi9lMCW6L https://t.co/TGoaKXMull",support
abortion is compassionate. https://t.co/xkdOtne0qu,oppose
42.6M abortions in 2020 surpass leading causes of death  https://t.co/O5nFW0cYuZ #christian #prolife https://t.co/kcGCbCcjfe,oppose
Pro-Life People View Pregnancy as an Opportunity Not a Problem https://t.co/fGdFcKLwMS via @LifeNewsHQ https://t.co/9vB5OStbr7,oppose
"Caring only for selective lives isn't ""pro-life"". A #Safe abortion can save lives. Learn the #facts. https://t.co/8EJU9AUV94

#YouAreNotAlone #SRHR #16Days #16DaysOfActivism2020 #SelfLove #ProChoice #Life #Memes #MemesDaily #FunnyMemes #Access #OrangeTheWorld https://t.co/MIsuptZIni",support
"How Pro-Life is the Republican party and Justices? Facts matter ✊🏽🇺🇸 here the answer, they're not. Thanks to their rulings, women have been able to safely have abortions. #RoeVWade #Republicans #SCOTUShearings #Constitution #prochoice #ProLife #Facts https://t.co/zUYdik1EFK",support
